response time (ns),attempts
3632553,1
2502933,1
2165320,1
28543617,2
2520325,1
29572786,2
29190890,2
2328548,1
29172105,2
29500526,2
41327545,2
83675340,3
2884377,1
3439524,1
3824871,1
3200720,1
4571281,1
104748473,4
2205953,1
2278245,1
2143759,1
2543564,1
3519869,1
3192519,1
60609406,3
2171140,1
28983436,2
3200878,1
2349757,1
28865503,2
62011687,3
28517690,2
1875432,1
169081900,5
2530662,1
2156827,1
2133880,1
2249232,1
28583927,2
2342928,1
3004687,1
2003578,1
2371738,1
2988447,1
3424007,1
3493016,1
1787302,1
28771875,2
2352227,1
2032374,1
47454165,2
2385162,1
32159431,2
3265971,1
2917960,1
2426543,1
30179861,2
2794150,1
2143665,1
104699651,4
2809323,1
31167149,2
3253215,1
3755052,1
42115833,2
43314767,2
33178543,2
167923509,5
803524490,8
73001181,3
2748602,1
3151377,1
2672016,1
3130493,1
32396660,2
2461130,1
2073316,1
2421131,1
3019373,1
2502085,1
2278158,1
2120064,1
2346749,1
2207742,1
28660887,2
2535583,1
2962542,1
3607161,1
102434607,4
2627899,1
2785194,1
3832558,1
29388421,2
28979118,2
4066148,1
5066919,1
3425088,1
5261825,1
30425676,2
28853097,2
2034077,1
63807945,3
35299169,2
28743732,2
31719782,2
2455954,1
2489679,1
2365839,1
3052785,1
3729593,1
29807525,2
42199785,2
110034784,4
3459593,1
3752234,1
4226580,1
4088502,1
31814757,2
4586740,1
63787486,3
2727075,1
29489406,2
29819666,2
2173846,1
2825543,1
3525413,1
4212152,1
4419625,1
1959042,1
59709352,3
31851120,2
1842043,1
80537257,3
2377196,1
2719756,1
3311561,1
3225990,1
2203765,1
31551383,2
2498752,1
3600919,1
3793232,1
2203343,1
28290075,2
1975401,1
3137272,1
66373257,3
2951057,1
3566925,1
3726085,1
4646033,1
5545211,1
6191708,1
1904484,1
36906465,2
2364524,1
2003664,1
2542141,1
3455544,1
3233288,1
3838910,1
2054711,1
29145545,2
1893289,1
3207140,1
3549002,1
2654173,1
4203657,1
2151820,1
38529685,2
43641953,2
46223381,2
2760275,1
3269536,1
3022431,1
3913973,1
2216948,1
30459729,2
2143650,1
2053686,1
3490750,1
2637213,1
4534509,1
5816885,1
28422079,2
29009746,2
62208768,3
1922297,1
1854333,1
1953942,1
2100571,1
3018643,1
27979148,2
31360376,2
2129081,1
2284944,1
2122786,1
3196737,1
2344939,1
2846227,1
2936204,1
39885916,2
3077724,1
3453063,1
3503004,1
1980783,1
70771416,3
2740908,1
4614236,1
2005298,1
2715693,1
3130173,1
2094706,1
29574175,2
2374297,1
2347242,1
2262565,1
2119803,1
29057146,2
2512923,1
2598332,1
3538161,1
28502711,2
117256195,4
29809117,2
28810051,2
2767513,1
3184481,1
4139800,1
2452806,1
2152667,1
28779643,2
62352249,3
2907929,1
3343359,1
3432067,1
2328133,1
4839524,1
4993014,1
102639817,4
1909845,1
2636322,1
2691011,1
3225833,1
3878723,1
60475757,3
2779714,1
103317174,4
2227855,1
3625355,1
3425604,1
5063790,1
6549779,1
1890612,1
2570978,1
2307328,1
3365498,1
2314525,1
31628746,2
31806396,2
30061724,2
2500760,1
106363049,4
2422598,1
3027424,1
39857555,2
2229286,1
75696793,3
1972141,1
2084591,1
2272778,1
5246923,1
5604560,1
2194248,1
2656437,1
3509556,1
3091904,1
4084285,1
4784681,1
4495045,1
30624270,2
2385694,1
2779116,1
30332193,2
3070849,1
2800475,1
3423368,1
62937239,3
29244083,2
29480585,2
2079629,1
26326444,1
3573938,1
3562998,1
4446408,1
29131103,2
29957836,2
30435671,2
2301976,1
2008316,1
2429803,1
2550960,1
2640757,1
2659076,1
2362418,1
2292582,1
3745612,1
3696545,1
2041112,1
32181264,2
28518268,2
4044788,1
4285471,1
5222029,1
4229360,1
5187439,1
30042148,2
63869970,3
2907427,1
2774280,1
2934391,1
3832899,1
4363046,1
33331916,2
2462129,1
3012623,1
3340875,1
3056718,1
29993356,2
2327847,1
59956901,3
61300956,3
61305932,3
2496205,1
104505876,4
33197683,2
68676645,3
2566904,1
2715965,1
2187693,1
43712356,2
7895650,1
1927859,1
1942028,1
31725471,2
31962217,2
2440972,1
2696218,1
3081491,1
167803266,5
168274593,5
29502626,2
60877073,3
28028944,2
2833396,1
2989033,1
3430467,1
2378968,1
28623176,2
29716727,2
29787065,2
123795379,4
40674377,2
3472511,1
3401422,1
4589965,1
5664242,1
2947546,1
29596174,2
29814424,2
2357713,1
2412906,1
3250479,1
4388365,1
4317914,1
5506889,1
2454677,1
74123055,3
76242381,3
30889284,2
2077334,1
2534931,1
2676969,1
35808806,2
2842156,1
63809401,3
2685426,1
2732230,1
2760485,1
2730620,1
3585720,1
2585890,1
2810819,1
3547058,1
2073923,1
3207028,1
2563798,1
3506420,1
276936564,6
29101707,2
4063332,1
2143011,1
2579846,1
31001937,2
2293357,1
2674364,1
2307734,1
2860549,1
3193437,1
2948321,1
32088762,2
65110630,3
2394515,1
2977387,1
3645262,1
3608467,1
2703454,1
32481221,2
2040500,1
2021398,1
3030934,1
3386396,1
3817689,1
4379666,1
81257304,3
6153431,1
7456640,1
8099094,1
37231434,2
69896725,3
64617840,3
2345476,1
70005650,3
5745190,1
5538542,1
6421246,1
6136090,1
6189776,1
36568602,2
35577879,2
2094908,1
105738110,4
2359722,1
3390518,1
3206405,1
2164051,1
2426800,1
2804861,1
2836471,1
107325117,4
28145652,2
28187351,2
103895920,4
2488332,1
2365388,1
2691503,1
3519858,1
3556450,1
38151476,2
31686945,2
2346756,1
36789098,2
35798730,2
2389517,1
2848967,1
3667416,1
5644254,1
3713664,1
34565194,2
2450985,1
2124550,1
2667663,1
2633568,1
2579497,1
29510044,2
32987999,2
29097914,2
2200548,1
2190635,1
2293786,1
2698953,1
2024407,1
30925873,2
62504128,3
2206833,1
1923514,1
2358735,1
3360569,1
3627232,1
4123605,1
2679796,1
2374803,1
1924335,1
2382878,1
4489901,1
4057297,1
4635694,1
34752930,2
2522583,1
3322622,1
3099501,1
3222204,1
69875437,3
29121670,2
42010510,2
2492345,1
2156655,1
69819805,3
64580591,3
2546788,1
3260525,1
36084557,2
3118163,1
29561986,2
2833821,1
2945034,1
3537595,1
3520216,1
4826479,1
2322435,1
