round,worker,backlog
1,1,3301
1,2,3301
1,3,3301
1,4,3301
1,5,3301
1,6,3301
1,7,3301
1,8,3301
1,9,3301
2,1,6405
2,2,6547
2,3,6523
2,4,6520
2,5,6549
2,6,6535
2,7,6542
2,8,6522
2,9,6549
3,1,9595
3,2,9765
3,3,9748
3,4,9709
3,5,9806
3,6,9706
3,7,9764
3,8,9764
3,9,9810
4,1,12762
4,2,13036
4,3,12975
4,4,12884
4,5,13049
4,6,12954
4,7,13021
4,8,12982
4,9,13072
5,1,16014
5,2,16273
5,3,16202
5,4,16073
5,5,16293
5,6,16192
5,7,16236
5,8,16216
5,9,16336
6,1,19243
6,2,19482
6,3,19436
6,4,19314
6,5,19528
6,6,19455
6,7,19451
6,8,19471
6,9,19561
7,1,22479
7,2,22738
7,3,22643
7,4,22578
7,5,22766
7,6,22628
7,7,22686
7,8,22640
7,9,22742
8,1,25741
8,2,25930
8,3,25773
8,4,25727
8,5,25959
8,6,25792
8,7,25897
8,8,25839
8,9,25899
9,1,28986
9,2,29123
9,3,28892
9,4,28939
9,5,29219
9,6,28971
9,7,29062
9,8,28948
9,9,29065
10,1,32186
10,2,32291
10,3,32005
10,4,32097
10,5,32419
10,6,32078
10,7,32189
10,8,32131
10,9,32177
11,1,35417
11,2,35457
11,3,35093
11,4,35291
11,5,35633
11,6,35159
11,7,35382
11,8,35301
11,9,35258
12,1,38578
12,2,38635
12,3,38296
12,4,38459
12,5,38831
12,6,38373
12,7,38544
12,8,38280
12,9,38328
13,1,41755
13,2,41622
13,3,41355
13,4,41538
13,5,41994
13,6,41277
13,7,41605
13,8,41376
13,9,41329
14,1,44764
14,2,44684
14,3,44386
14,4,44501
14,5,45037
14,6,44158
14,7,44615
14,8,44043
14,9,43918
15,1,47583
15,2,47639
15,3,47228
15,4,47193
15,5,48053
15,6,46839
15,7,47324
15,8,46949
15,9,46977
16,1,50520
16,2,50258
16,3,49300
16,4,49539
16,5,50510
16,6,49440
16,7,49978
16,8,49072
16,9,48819
17,1,52690
17,2,50844
17,3,49861
17,4,51075
17,5,51274
17,6,50207
17,7,51664
17,8,49281
17,9,49439
18,1,54228
18,2,49931
18,3,49890
18,4,50540
18,5,49928
18,6,49845
18,7,51989
18,8,49168
18,9,49166
19,1,52927
19,2,49404
19,3,49714
19,4,50299
19,5,49034
19,6,49620
19,7,50422
19,8,48786
19,9,49064
20,1,52862
20,2,49225
20,3,49254
20,4,49902
20,5,48685
20,6,48462
20,7,49938
20,8,48115
20,9,47912
21,1,52430
21,2,49118
21,3,49214
21,4,49809
21,5,48145
21,6,48042
21,7,50124
21,8,48094
21,9,46464
22,1,52622
22,2,49185
22,3,48668
22,4,49321
22,5,47589
22,6,47171
22,7,50152
22,8,47774
22,9,46105
23,1,51869
23,2,48752
23,3,47519
23,4,49028
23,5,47469
23,6,46381
23,7,49594
23,8,47296
23,9,45473
24,1,50917
24,2,47912
24,3,46975
24,4,48356
24,5,47126
24,6,46234
24,7,48762
24,8,46321
24,9,44966
25,1,50900
25,2,47547
25,3,45989
25,4,48141
25,5,45732
25,6,46135
25,7,47733
25,8,44891
25,9,44114
26,1,50684
26,2,47525
26,3,46070
26,4,47622
26,5,45560
26,6,45475
26,7,46631
26,8,44704
26,9,43637
27,1,50275
27,2,47447
27,3,45919
27,4,47408
27,5,44752
27,6,44028
27,7,46033
27,8,44719
27,9,43544
28,1,48516
28,2,47540
28,3,45327
28,4,46904
28,5,43854
28,6,42879
28,7,44730
28,8,44606
28,9,43588
29,1,48281
29,2,47044
29,3,45377
29,4,46636
29,5,42871
29,6,42276
29,7,43771
29,8,43613
29,9,42500
30,1,46799
30,2,46539
30,3,44910
30,4,45891
30,5,42331
30,6,41484
30,7,42209
30,8,42432
30,9,42230
31,1,45939
31,2,46290
31,3,44136
31,4,45655
31,5,41750
31,6,39942
31,7,41599
31,8,42295
31,9,41927
32,1,45165
32,2,45907
32,3,43413
32,4,45499
32,5,41572
32,6,39743
32,7,40172
32,8,42109
32,9,41114
33,1,44127
33,2,46057
33,3,43359
33,4,44375
33,5,40364
33,6,39667
33,7,40232
33,8,40888
33,9,40477
34,1,43147
34,2,45950
34,3,43494
34,4,44145
34,5,40159
34,6,39275
34,7,36853
