round,worker,backlog
1,1,3301
1,2,3301
1,3,3301
1,4,3301
1,5,3301
1,6,3301
1,7,3301
1,8,3301
1,9,3301
1,10,3301
1,11,3301
1,12,3301
2,1,6344
2,2,6518
2,3,6556
2,4,6542
2,5,6520
2,6,6544
2,7,6500
2,8,6518
2,9,6523
2,10,6527
2,11,6522
2,12,6506
3,1,9510
3,2,9745
3,3,9759
3,4,9769
3,5,9722
3,6,9728
3,7,9713
3,8,9736
3,9,9678
3,10,9717
3,11,9747
3,12,9719
4,1,12718
4,2,12965
4,3,12987
4,4,12953
4,5,12899
4,6,12947
4,7,12925
4,8,12909
4,9,12846
4,10,12875
4,11,12946
4,12,12844
5,1,15922
5,2,16197
5,3,16155
5,4,16160
5,5,16105
5,6,16151
5,7,16124
5,8,16143
5,9,16011
5,10,16043
5,11,16112
5,12,15999
6,1,19150
6,2,19399
6,3,19303
6,4,19385
6,5,19295
6,6,19352
6,7,19333
6,8,19342
6,9,19191
6,10,19213
6,11,19293
6,12,19218
7,1,22282
7,2,22616
7,3,22479
7,4,22543
7,5,22461
7,6,22462
7,7,22528
7,8,22500
7,9,22323
7,10,22298
7,11,22379
7,12,22408
8,1,25486
8,2,25854
8,3,25501
8,4,25655
8,5,25595
8,6,25499
8,7,25575
8,8,25642
8,9,25519
8,10,25398
8,11,25521
8,12,25419
9,1,28682
9,2,29012
9,3,28700
9,4,28677
9,5,28648
9,6,28707
9,7,28620
9,8,28780
9,9,28602
9,10,28620
9,11,28617
9,12,28503
10,1,31885
10,2,32072
10,3,31757
10,4,31774
10,5,31753
10,6,31886
10,7,31768
10,8,31896
10,9,31647
10,10,31735
10,11,31638
10,12,31582
11,1,34979
11,2,35150
11,3,34785
11,4,34802
11,5,34756
11,6,34981
11,7,34808
11,8,34894
11,9,34658
11,10,34751
11,11,34782
11,12,34611
12,1,37991
12,2,38123
12,3,37917
12,4,37876
12,5,37797
12,6,37926
12,7,37823
12,8,37924
12,9,37598
12,10,37766
12,11,37595
12,12,37488
13,1,41142
13,2,41206
13,3,40642
13,4,40868
13,5,40819
13,6,40836
13,7,40801
13,8,40901
13,9,40472
13,10,40543
13,11,40265
13,12,40098
14,1,44082
14,2,43989
14,3,43555
14,4,43490
14,5,43355
14,6,43740
14,7,43510
14,8,43437
14,9,42860
14,10,43395
14,11,42804
14,12,42757
15,1,46711
15,2,46089
15,3,45755
15,4,45877
15,5,45850
15,6,45539
15,7,45428
15,8,45824
15,9,45109
15,10,44856
15,11,44672
15,12,44446
16,1,47868
16,2,47791
16,3,47242
16,4,46874
16,5,46521
16,6,45714
16,7,46139
16,8,45790
16,9,45932
16,10,45127
16,11,44068
16,12,44981
17,1,47590
17,2,45632
17,3,44803
17,4,44586
17,5,44243
17,6,43802
17,7,43255
17,8,43267
17,9,43704
17,10,42687
17,11,41806
17,12,42681
18,1,44126
18,2,42713
18,3,42270
18,4,41478
18,5,41507
18,6,41708
18,7,39444
18,8,41170
18,9,41298
18,10,40170
18,11,39344
18,12,40159
19,1,41507
19,2,40325
19,3,39945
19,4,38747
19,5,37982
19,6,39380
19,7,37520
19,8,38258
19,9,38245
19,10,37168
19,11,35877
19,12,37432
20,1,38569
20,2,37933
20,3,38200
20,4,36423
20,5,36232
20,6,37663
20,7,35149
20,8,35490
20,9,36653
20,10,34314
20,11,33571
20,12,34455
21,1,36185
21,2,35513
21,3,36082
21,4,33754
21,5,34399
21,6,35059
21,7,32107
21,8,33066
21,9,33605
21,10,31492
21,11,31894
21,12,31745
22,1,33750
22,2,33056
22,3,33587
22,4,31301
22,5,32556
22,6,32265
22,7,29124
22,8,30077
22,9,31700
22,10,28176
22,11,29041
22,12,29378
23,1,31832
23,2,29926
23,3,31346
23,4,28121
23,5,29792
23,6,28639
23,7,26366
23,8,27960
23,9,29307
23,10,26189
23,11,27267
23,12,27526
24,1,29453
24,2,28408
24,3,28485
24,4,25505
24,5,27639
24,6,26922
24,7,24313
24,8,25879
24,9,26329
24,10,23474
24,11,25263
24,12,25234
25,1,25897
25,2,25614
25,3,26437
25,4,21176
25,5,25015
25,6,25125
25,7,21995
25,8,23391
25,9,24002
25,10,20852
25,11,21967
25,12,23010
26,1,22745
26,2,22911
26,3,23502
26,4,18115
26,5,22036
26,6,23073
26,7,19365
26,8,20637
26,9,21197
26,10,17867
26,11,19031
26,12,20748
27,1,20458
27,2,20995
27,3,21835
27,4,15685
27,5,19241
27,6,20807
27,7,17164
27,8,18497
27,9,16828
27,10,15174
27,11,16097
27,12,17512
28,1,18735
28,2,18919
28,3,18660
28,4,12807
28,5,16810
28,6,18737
28,7,14941
28,8,16179
28,9,13491
28,10,13259
28,11,13054
28,12,15414
29,1,16380
29,2,16140
29,3,15530
29,4,9147
29,5,14273
29,6,16745
29,7,11993
29,8,13698
29,9,9496
29,10,9672
29,11,9953
29,12,13381
30,1,14116
30,2,14254
30,3,12947
30,4,6875
30,5,11372
30,6,14860
30,7,10103
30,8,11522
30,9,6162
30,10,6204
30,11,6961
30,12,10120
31,1,11119
31,2,10519
31,3,9740
31,4,3288
