round,worker,backlog
1,1,3301
1,2,3301
1,3,3301
1,4,3301
1,5,3301
1,6,3301
1,7,3301
1,8,3301
2,1,6456
2,2,6549
2,3,6521
2,4,6520
2,5,6556
2,6,6563
2,7,6565
2,8,6530
3,1,9626
3,2,9783
3,3,9767
3,4,9711
3,5,9837
3,6,9816
3,7,9792
3,8,9806
4,1,12825
4,2,13039
4,3,13042
4,4,12929
4,5,13085
4,6,12996
4,7,13043
4,8,12996
5,1,16063
5,2,16312
5,3,16254
5,4,16117
5,5,16310
5,6,16255
5,7,16304
5,8,16282
6,1,19307
6,2,19519
6,3,19495
6,4,19354
6,5,19583
6,6,19500
6,7,19537
6,8,19525
7,1,22539
7,2,22782
7,3,22757
7,4,22601
7,5,22799
7,6,22768
7,7,22787
7,8,22781
8,1,25780
8,2,26039
8,3,25989
8,4,25877
8,5,26057
8,6,26038
8,7,26039
8,8,26052
9,1,29033
9,2,29270
9,3,29170
9,4,29054
9,5,29259
9,6,29183
9,7,29288
9,8,29174
10,1,32292
10,2,32481
10,3,32317
10,4,32300
10,5,32522
10,6,32347
10,7,32492
10,8,32369
11,1,35510
11,2,35666
11,3,35491
11,4,35520
11,5,35721
11,6,35562
11,7,35682
11,8,35550
12,1,38761
12,2,38855
12,3,38619
12,4,38670
12,5,38970
12,6,38680
12,7,38813
12,8,38723
13,1,41997
13,2,42046
13,3,41695
13,4,41887
13,5,42189
13,6,41755
13,7,41998
13,8,41929
14,1,45205
14,2,45212
14,3,44885
14,4,45038
14,5,45311
14,6,44975
14,7,45215
14,8,45043
15,1,48369
15,2,48220
15,3,48052
15,4,48223
15,5,48467
15,6,48077
15,7,48301
15,8,48092
16,1,51539
16,2,51336
16,3,51123
16,4,51383
16,5,51623
16,6,51115
16,7,51312
16,8,51206
17,1,54643
17,2,54410
17,3,54210
17,4,54405
17,5,54749
17,6,54254
17,7,54529
17,8,54084
18,1,57543
18,2,57527
18,3,57131
18,4,57526
18,5,57762
18,6,57134
18,7,57374
18,8,57065
19,1,60680
19,2,60375
19,3,59634
19,4,60291
19,5,60487
19,6,59745
19,7,60288
19,8,59948
20,1,63597
20,2,62542
20,3,61955
20,4,62668
20,5,63070
20,6,61945
20,7,62750
20,8,62252
21,1,66013
21,2,65142
21,3,62980
21,4,63783
21,5,65182
21,6,64168
21,7,64545
21,8,63374
22,1,66783
22,2,65938
22,3,63082
22,4,63972
22,5,65383
22,6,63808
22,7,64430
22,8,62801
23,1,66535
23,2,64773
23,3,63136
23,4,64815
23,5,64680
23,6,63636
23,7,64577
23,8,62711
24,1,66874
24,2,64458
24,3,63028
24,4,64575
24,5,64305
24,6,64069
24,7,64303
24,8,62214
25,1,67185
25,2,65074
25,3,62585
25,4,64398
25,5,64766
25,6,64406
25,7,64312
25,8,61878
26,1,67558
26,2,65297
26,3,62576
26,4,63439
26,5,65158
26,6,64563
26,7,64380
26,8,61559
27,1,67485
27,2,65196
27,3,62649
27,4,63463
27,5,65406
27,6,64043
27,7,63797
27,8,61340
28,1,66555
28,2,65448
28,3,63045
28,4,63534
28,5,65524
28,6,63802
28,7,63531
28,8,60846
29,1,65657
29,2,65642
29,3,62799
29,4,63112
29,5,65577
29,6,64147
29,7,63551
29,8,61025
30,1,65734
30,2,66075
30,3,62944
30,4,63582
30,5,65856
30,6,65419
30,7,63790
30,8,60313
31,1,65515
31,2,66161
31,3,63186
31,4,63751
31,5,66055
31,6,66687
31,7,63650
31,8,60162
32,1,65246
32,2,66209
32,3,63357
32,4,63834
32,5,65938
32,6,68549
32,7,63379
32,8,59965
33,1,65607
33,2,66671
33,3,63189
33,4,63697
33,5,66179
33,6,69613
33,7,63834
33,8,59737
34,1,65324
34,2,66909
34,3,63159
34,4,63917
34,5,66417
34,6,69637
34,7,63843
34,8,59443
35,1,65868
35,2,66989
35,3,62559
35,4,63607
35,5,66053
35,6,69768
35,7,63705
35,8,59524
36,1,65322
36,2,66747
36,3,62308
36,4,63999
36,5,66467
36,6,70175
36,7,63729
36,8,59938
37,1,65549
37,2,67152
37,3,62042
37,4,64540
37,5,66648
37,6,70854
37,7,63171
37,8,60199
38,1,65866
38,2,67812
38,3,62003
38,4,64985
38,5,65631
38,6,71003
38,7,63368
38,8,57261

